name,team,position,draft_rank,jersey_number
Malik Spencer,michigan state,S,300,43
Ethan Onianwa,ohio state,OT,301,78
Ben Taylor-Whitfield,tcu,OT,302,56
Jeadyn Lukus,clemson,CB,303,10
Dorion Strawn,texas state,OT,304,64
Giovanni El-Hadi,michigan,IOL,305,58
Hunter Zambrano,texas tech,IOL,306,
Wade Woodaz,clemson,LB,307,17
Albert Regis,texas a&m,DL,308,17
Eli Raridon,notre dame,TE,309,9
Jackson Arnold,auburn,QB,310,
Davin Stoffel,illinois,TE,311,88
Alex Harkey,oregon,OT,312,
Samuel Omosigho,oklahoma,LB,313,7
Teitum Tuioti,oregon,EDGE,314,
Jahiem White,west virginia,RB,315,1
Laurence Seymore,western kentucky,IOL,316,50
Benjamin Brahmer,iowa state,TE,317,18
Elijah Prather,troy,IOL,318,58
Jaren Kanak,oklahoma,TE,319,12
Keenan Nelson Jr.,ohio state,S,320,16
Trey White,san diego state,EDGE,321,
Brandon Henderson,illinois,IOL,322,75
Riley Williams,oregon state,TE,323,
Billy Schrauth,notre dame,IOL,324,74
Rocco Becht,iowa state,QB,325,3
Raion Strader,auburn,CB,326,
Deven Eastern,minnesota,DL,327,91
Will Shaffer,abilene christian,LB,328,
Braylan Shelby,usc,EDGE,329,10
Connor Tollison,missouri,IOL,330,55
Luke Hasz,mississippi,TE,331,
Quinten Joyner,texas tech,RB,332,
Adon Shuler,notre dame,S,333,8
Dylan Edwards,kansas state,RB,334,3
Adepoju Adebawore,oklahoma,EDGE,335,34
Anthony Donkoh,penn state,OT,336,
Bryce Boettcher,oregon,LB,337,
D.J. Hicks,texas a&m,DL,338,5
Da'Shawn Womack,mississippi,EDGE,339,
Dametrious Crownover,texas a&m,OT,340,78
Austin Mack,alabama,QB,341,10
Jelani Thurman,ohio state,TE,342,15
Teague Andersen,nc state,IOL,343,54
Wendell Moe Jr.,tennessee,IOL,344,75
DeAndre Moore Jr.,texas,WR,345,0
Elliot Washington II,penn state,CB,346,
Quinten Christensen,south dakota state,IOL,347,
Declan Duley,central michigan,P,348,
Isaac Smith,mississippi state,S,349,2
Josh Moten,southern miss,CB,350,1
Carlos Hernandez,wake forest,WR,351,8
Khalil Barnes,clemson,S,352,7
Dean Miller,kansas,EDGE,353,5
Kedrick Reescano,arizona,RB,354,
Trevyon Green,north carolina,OT,355,
Skyler Bell,uconn,WR,356,1
Peyton Bowen,oklahoma,S,357,22
Jaiden Ausberry,notre dame,LB,358,4
Cameron Seldon,virginia tech,WR,359,
Mark Fletcher,miami (fl),RB,360,4
Ryan Mosesso,umass,OT,361,79
Ka'morreun Pimpton,tcu,TE,362,88
Jacarrius Peak,nc state,OT,363,65
Cooper Flanagan,notre dame,TE,364,87
Jalil Farooq,maryland,WR,365,1
Matthew Hibner,smu,TE,366,88
Ty Lockwood,boston college,TE,367,19
